id_cliente;data_nascimento;sexo;renda;estado_civil;cep
2853702;09/07/1977;F;84031;Viuvo(a);46571-990
885872207;29/08/1999;F;66473;Casado(a);59120-290
789497587;02/03/1979;F;79921;Viuvo(a);73258-501
850014075;21/01/1987;F;38401;Casado(a);34910-568
20736070;04/12/2001;M;40143;Casado(a);60547-336
524338095;30/10/1991;M;13915;Solteiro(a);95171-238
905953586;21/05/2001;F;72059;Viuvo(a);36765-205
969606825;03/10/1996;F;95386;Casado(a);96927-763
113479078;21/04/1982;M;9327;Divorciado(a);89313-758
187765614;25/11/1996;F;94344;Casado(a);34568-311
279531053;13/08/1985;F;66602;Casado(a);55579-698
441538164;01/10/1998;F;91368;Divorciado(a);14599-222
819366229;30/04/1978;F;63023;Casado(a);47239-497
461886885;19/06/1979;M;69895;Viuvo(a);36463-860
886895583;25/01/1995;M;36176;Divorciado(a);75248-779
53621117;15/11/2002;M;70215;Viuvo(a);23285-348
131971389;27/07/2003;M;75946;Divorciado(a);08566-610
311399232;19/07/1982;F;35100;Casado(a);56069-586
693644141;27/08/1994;F;41815;Viuvo(a);07645-902
417518836;27/07/1995;M;16033;Casado(a);52226-549
18342109;12/12/2003;M;52991;Solteiro(a);16079-585
286997525;16/03/1978;M;80909;Solteiro(a);10072-219
669094724;08/11/1973;M;33971;Divorciado(a);89479-504
247614005;21/12/1970;F;18453;Casado(a);88384-031
47084722;03/11/1995;F;29768;Casado(a);51133-715
142898578;27/04/1972;F;77331;Viuvo(a);23092-329
342835060;21/03/1971;F;54235;Viuvo(a);81418-140
958520918;21/05/1974;F;57959;Casado(a);26562-197
